app,mode,destination,source,distance,price
Uber,UberPool,Haymarket Square,Beacon Hill,1.35,8.0
Lyft,Lyft,South Station,Back Bay,1.32,9.0
Lyft,Lux Black,Haymarket Square,Financial District,1.25,16.5
Uber,Black SUV,Financial District,North End,1.13,27.5
Lyft,Shared,Northeastern University,Beacon Hill,2.46,7.0
Lyft,Shared,Fenway,Beacon Hill,2.41,5.0
Lyft,Lyft XL,Boston University,Financial District,5.28,22.5
Uber,WAV,Financial District,Northeastern University,4.55,14.0
Uber,UberXL,West End,Haymarket Square,0.62,10.5
Lyft,Lyft,Haymarket Square,Beacon Hill,1.33,9.0
Uber,UberX,South Station,North Station,2.17,8.5
Uber,WAV,Boston University,Back Bay,1.51,7.5
Uber,UberPool,Financial District,Haymarket Square,0.99,7.0
Uber,UberXL,North End,West End,0.98,12.5
Lyft,Lux,Theatre District,Northeastern University,2.03,22.5
Lyft,Lyft,South Station,Beacon Hill,2.38,10.5
Lyft,Shared,North Station,Northeastern University,3.2,7.0
Uber,WAV,South Station,West End,2.14,8.0
Uber,UberX,Haymarket Square,Back Bay,2.32,11.0
Uber,UberX,Theatre District,Northeastern University,2.81,8.5
Lyft,Lux,Financial District,Boston University,4.76,26.0
Uber,UberPool,Back Bay,Haymarket Square,1.82,8.5
Uber,UberPool,Haymarket Square,Theatre District,1.61,10.0
Uber,Black,Northeastern University,Back Bay,1.08,15.0
Lyft,Lyft,West End,Haymarket Square,0.66,7.0
Uber,Black,Back Bay,Haymarket Square,2.17,24.0
Uber,Black SUV,Theatre District,Haymarket Square,1.16,27.5
Lyft,Lux Black XL,Back Bay,South Station,2.16,30.0
Lyft,Shared,Theatre District,Boston University,2.95,10.5
Lyft,Lux Black,Northeastern University,North Station,3.31,27.5
Uber,UberXL,Northeastern University,Beacon Hill,1.92,13.5
Uber,UberXL,West End,North End,1.16,12.0
Lyft,Lux Black XL,Haymarket Square,North Station,0.73,26.0
Lyft,Lyft,Fenway,Beacon Hill,2.49,9.0
Lyft,Lyft,Financial District,Northeastern University,3.88,13.5
Lyft,Lux Black,Haymarket Square,Back Bay,2.31,22.5
Lyft,Lux,North End,West End,1.06,16.5
Lyft,Lyft,North Station,Haymarket Square,0.58,7.0
Uber,UberPool,North Station,Haymarket Square,0.49,5.5
Lyft,Lux,South Station,Beacon Hill,2.33,19.5
Lyft,Lux,Boston University,North Station,3.09,22.5
Uber,UberX,Theatre District,Boston University,2.98,9.5
Lyft,Lux,Northeastern University,Financial District,3.4,22.5
Lyft,Lux Black,Fenway,Beacon Hill,2.43,22.5
Lyft,Lux,West End,Boston University,3.13,19.5
Uber,UberX,North Station,South Station,1.75,9.5
Uber,WAV,Boston University,Beacon Hill,2.27,9.5
Uber,WAV,Haymarket Square,Financial District,1.25,8.0
Uber,Black SUV,Northeastern University,Beacon Hill,2.56,31.5
Uber,UberXL,Fenway,North Station,3.05,16.5
Uber,UberX,South Station,Beacon Hill,2.48,9.5
Uber,Black,North Station,Northeastern University,3.22,21.5
Uber,WAV,Theatre District,Boston University,2.45,9.5
Uber,Black,Back Bay,Northeastern University,1.64,17.0
Lyft,Lux Black XL,Theatre District,South Station,1.22,27.5
Uber,UberX,Beacon Hill,North End,1.65,9.5
Lyft,Lux Black XL,West End,Haymarket Square,0.64,27.5
Lyft,Lux,West End,Fenway,2.82,19.5
Uber,WAV,Financial District,Northeastern University,4.1,12.0
Lyft,Lux Black,Fenway,Back Bay,1.39,16.5
Uber,UberX,Boston University,Back Bay,1.51,7.5
Lyft,Lyft,Financial District,Northeastern University,4.14,13.5
Lyft,Lyft XL,Back Bay,South Station,3.31,19.5
Lyft,Lux Black,Boston University,Back Bay,1.45,19.5
Uber,Black,South Station,Theatre District,0.55,15.5
Uber,UberPool,Beacon Hill,Boston University,2.79,9.0
Lyft,Lux,Theatre District,Fenway,2.74,16.5
Uber,UberPool,North Station,Boston University,3.39,14.5
Lyft,Lyft,West End,Northeastern University,2.84,9.0
Lyft,Lyft,Haymarket Square,Beacon Hill,1.38,7.0
Lyft,Shared,Haymarket Square,Theatre District,1.71,7.0
Uber,Black SUV,Financial District,Boston University,4.72,39.5
Uber,UberXL,North Station,South Station,2.29,30.5
Lyft,Lux Black,Beacon Hill,Fenway,2.37,22.5
Lyft,Lux Black XL,Haymarket Square,Theatre District,1.72,27.5
Lyft,Lux,Haymarket Square,North Station,0.73,11.0
Uber,Black SUV,Fenway,Back Bay,1.34,23.0
Uber,UberX,Theatre District,Haymarket Square,1.14,7.0
Uber,Black,Northeastern University,Theatre District,1.81,17.0
Uber,WAV,Boston University,West End,2.8,11.5
Lyft,Lyft XL,Haymarket Square,North Station,0.7,11.0
Lyft,Shared,Beacon Hill,South Station,2.55,7.0
Lyft,Lyft XL,Theatre District,Fenway,2.73,16.5
Uber,UberPool,Financial District,North End,1.07,9.0
Uber,UberX,North End,Theatre District,1.57,8.0
Lyft,Lux Black XL,North End,North Station,1.05,27.5
Lyft,Lux,North Station,Northeastern University,3.33,26.0
Uber,WAV,Theatre District,South Station,1.3,8.0
Uber,UberX,North End,West End,1.23,8.5
Lyft,Lux,Haymarket Square,Theatre District,1.76,16.5
Lyft,Lux Black,South Station,Back Bay,1.38,22.5
Uber,UberPool,North Station,Haymarket Square,0.49,5.5
Lyft,Lux,Beacon Hill,North End,1.69,19.5
Uber,WAV,Financial District,North End,1.13,9.5
Lyft,Lux Black,Northeastern University,Theatre District,2.13,22.5
Uber,UberXL,West End,Northeastern University,2.86,15.0
Lyft,Lyft,Back Bay,Fenway,1.57,7.0
Lyft,Lux,Haymarket Square,Theatre District,1.71,16.5
Uber,Black SUV,North Station,Boston University,3.39,35.0
Lyft,Lux Black XL,Northeastern University,Beacon Hill,2.02,27.5
Uber,UberX,Financial District,Haymarket Square,0.99,7.0
Uber,WAV,North Station,South Station,2.38,8.5
Lyft,Shared,West End,Northeastern University,2.84,3.5
Uber,UberXL,Beacon Hill,Northeastern University,2.96,18.0
Uber,UberPool,Theatre District,North End,1.41,8.0
Uber,UberX,West End,Boston University,3.05,10.5
Lyft,Lyft XL,South Station,West End,1.7,13.5
Uber,UberXL,West End,Boston University,3.04,16.5
Uber,WAV,Northeastern University,Back Bay,1.08,11.0
Lyft,Lux,Theatre District,South Station,1.15,13.5
Lyft,Lux Black XL,Theatre District,Haymarket Square,1.23,26.0
Uber,Black,Northeastern University,Theatre District,1.8,21.0
Lyft,Lux Black,Haymarket Square,West End,0.75,16.5
Uber,WAV,West End,Boston University,3.04,9.0
Uber,UberXL,Beacon Hill,South Station,2.5,15.0
Uber,UberX,North End,Beacon Hill,1.35,10.5
Uber,UberPool,North Station,South Station,2.38,7.5
Uber,Black,West End,North End,1.16,15.0
Lyft,Lux,Haymarket Square,North Station,1.61,13.5
Lyft,Lyft XL,Fenway,North Station,3.2,16.5
Uber,Black,Northeastern University,Theatre District,1.81,16.5
Uber,Black SUV,Beacon Hill,Northeastern University,2.59,31.5
Uber,Black,North Station,Haymarket Square,0.49,15.0
Uber,Black SUV,Beacon Hill,Fenway,3.55,32.5
Uber,UberX,North End,Back Bay,7.34,16.5
Uber,WAV,Beacon Hill,Fenway,2.46,8.5
Uber,UberXL,Northeastern University,Theatre District,1.8,13.0
Uber,UberPool,Beacon Hill,South Station,2.58,9.0
Lyft,Lux Black,North Station,South Station,2.28,22.5
Lyft,Lyft,Fenway,West End,2.95,10.5
Lyft,Shared,Northeastern University,North Station,3.32,7.0
Lyft,Lyft XL,Beacon Hill,Boston University,2.64,16.5
Lyft,Lux Black XL,Northeastern University,Theatre District,2.91,32.5
Uber,UberXL,West End,Northeastern University,3.19,20.5
Lyft,Lyft XL,Haymarket Square,West End,0.78,9.0
Uber,Black SUV,West End,North End,1.11,26.0
Lyft,Lyft,Haymarket Square,Beacon Hill,1.26,7.0
Uber,UberPool,South Station,West End,2.14,9.0
Uber,Black,Boston University,Back Bay,1.41,15.5
Uber,Black SUV,Theatre District,Northeastern University,1.94,27.0
Uber,UberXL,South Station,Theatre District,0.55,10.5
Uber,WAV,Theatre District,North End,1.41,9.0
Uber,UberX,Financial District,Fenway,3.42,41.5
Lyft,Lux Black XL,Northeastern University,Beacon Hill,2.52,38.0
Uber,UberX,Beacon Hill,Boston University,2.79,9.5
Uber,UberPool,Fenway,Financial District,4.48,9.0
Uber,UberPool,Theatre District,Haymarket Square,1.18,7.5
Uber,UberX,Back Bay,Northeastern University,1.49,9.5
Uber,UberPool,Theatre District,North End,1.41,8.5
Uber,Black SUV,Beacon Hill,Boston University,2.79,31.0
Uber,Black,Theatre District,North End,1.41,16.5
Lyft,Lyft,Haymarket Square,Beacon Hill,1.36,7.0
Uber,Black,Haymarket Square,Beacon Hill,1.23,17.5
Lyft,Lux Black XL,Financial District,Fenway,4.34,42.5
Lyft,Lyft XL,Boston University,Theatre District,3.13,16.5
Lyft,Lux Black XL,North Station,South Station,2.27,32.5
Uber,Black SUV,Haymarket Square,Theatre District,1.61,27.5
Lyft,Lyft,West End,South Station,1.73,9.0
Lyft,Lux,Back Bay,Fenway,1.53,13.5
Uber,UberPool,Back Bay,South Station,3.53,10.0
Lyft,Lux,Beacon Hill,South Station,2.53,34.0
Uber,UberX,South Station,Back Bay,1.68,8.5
Lyft,Shared,North End,Back Bay,3.0,5.0
Uber,UberXL,Haymarket Square,Beacon Hill,1.35,21.0
Uber,UberXL,Boston University,North Station,3.01,16.0
Lyft,Lyft XL,Haymarket Square,Theatre District,1.72,13.5
Lyft,Lyft,West End,Haymarket Square,0.68,7.0
Uber,Black SUV,Haymarket Square,Back Bay,2.32,32.5
Uber,UberPool,Boston University,North Station,3.01,10.0
Lyft,Lux Black XL,Boston University,Beacon Hill,2.3,30.0
Lyft,Lux,North Station,Haymarket Square,0.53,11.0
Lyft,Lyft,Northeastern University,Back Bay,1.11,7.0
Uber,WAV,South Station,Theatre District,0.55,7.0
Uber,Black,Fenway,West End,2.84,24.0
Uber,UberXL,North End,Back Bay,2.7,17.0
Lyft,Shared,Back Bay,Haymarket Square,2.36,7.0
Uber,Black SUV,West End,North End,1.11,27.0
Uber,UberPool,Northeastern University,Theatre District,2.27,15.5
Uber,WAV,Haymarket Square,Back Bay,2.32,9.0
Uber,Black SUV,Boston University,Beacon Hill,2.27,30.5
Uber,UberPool,Financial District,Boston University,4.72,9.0
Uber,Black SUV,North End,Theatre District,1.57,28.5
Uber,UberXL,Northeastern University,North Station,3.3,20.5
Uber,Black,North Station,Boston University,3.39,24.0
Uber,UberPool,Financial District,Northeastern University,4.53,10.0
Lyft,Lyft,Haymarket Square,Back Bay,2.31,9.0
Uber,Black,Back Bay,Northeastern University,1.64,16.5
Lyft,Lux,North Station,Fenway,3.23,22.5
Uber,Black SUV,South Station,Financial District,0.39,26.0
Lyft,Lyft,Fenway,Theatre District,3.19,13.5
Lyft,Lux Black XL,Beacon Hill,Northeastern University,2.43,30.0
Uber,UberX,Fenway,North Station,3.05,10.5
Lyft,Lyft,Boston University,Financial District,5.4,13.5
Uber,Black,Theatre District,South Station,1.3,17.5
Uber,UberXL,Fenway,Back Bay,1.34,11.0
Lyft,Lux,Theatre District,Boston University,3.02,19.5
Lyft,Lux Black XL,West End,Haymarket Square,0.68,27.5
Lyft,Lux Black XL,South Station,Theatre District,0.59,27.5
Uber,WAV,Theatre District,South Station,1.3,9.5
Uber,UberX,South Station,Financial District,0.39,7.0
Uber,UberPool,Theatre District,Fenway,2.38,9.0
Uber,UberXL,North Station,Haymarket Square,0.49,8.5
Lyft,Lyft XL,West End,Haymarket Square,0.64,10.5
Lyft,Lux,Theatre District,Fenway,2.72,16.5
Uber,Black SUV,Boston University,North Station,3.01,31.5
Uber,Black,West End,Boston University,3.04,22.0
Uber,UberPool,Haymarket Square,Back Bay,2.32,9.5
Uber,UberXL,Northeastern University,Back Bay,1.22,12.0
Uber,UberX,Haymarket Square,North Station,0.56,8.0
Uber,WAV,Theatre District,Fenway,2.7,11.5
Uber,Black,Fenway,Theatre District,2.66,24.0
Uber,WAV,Financial District,Fenway,4.42,13.0
Lyft,Lux Black XL,Back Bay,Haymarket Square,2.38,34.0
Lyft,Shared,Fenway,Financial District,4.61,5.0
Uber,UberX,Back Bay,Northeastern University,1.62,8.0
Lyft,Lux Black XL,Beacon Hill,Boston University,2.61,34.0
Uber,UberXL,North End,Beacon Hill,1.35,11.5
Uber,Black SUV,South Station,Financial District,0.39,27.5
Uber,Black SUV,North Station,South Station,1.5,27.5
Uber,UberX,Haymarket Square,Back Bay,2.32,9.5
Lyft,Lux Black XL,Northeastern University,Theatre District,2.26,32.5
Lyft,Lyft,Haymarket Square,West End,0.9,7.0
Uber,Black SUV,Fenway,Theatre District,2.66,27.0
Uber,UberX,West End,North End,1.16,7.5
Lyft,Shared,Haymarket Square,Beacon Hill,1.39,5.0
Uber,WAV,Financial District,North End,1.07,7.5
Lyft,Shared,Theatre District,North End,1.53,7.0
Uber,Black,North End,Back Bay,2.84,26.5
Uber,Black,Back Bay,North End,2.62,26.0
Lyft,Shared,South Station,Financial District,0.46,5.0
Uber,UberPool,Haymarket Square,Theatre District,1.71,9.5
Lyft,Lux Black,Boston University,West End,2.82,26.0
Uber,WAV,South Station,Theatre District,0.55,7.5
Uber,UberPool,Theatre District,Haymarket Square,1.16,8.0
Uber,WAV,Beacon Hill,Northeastern University,2.61,17.5
Uber,UberXL,Back Bay,Haymarket Square,2.04,18.0
Uber,Black,Theatre District,Haymarket Square,1.16,16.5
Uber,UberX,Theatre District,Haymarket Square,1.16,7.5
Lyft,Lux Black,North Station,Haymarket Square,0.43,16.5
Uber,Black,Fenway,North Station,3.05,27.0
Uber,UberPool,West End,North End,1.16,7.0
Lyft,Shared,Haymarket Square,Back Bay,2.31,5.0
Uber,UberX,Haymarket Square,Theatre District,1.61,8.0
Lyft,Shared,Northeastern University,Beacon Hill,2.0,7.0
Uber,Black,Theatre District,Fenway,2.66,21.5
Lyft,Shared,Boston University,Theatre District,4.72,11.0
Lyft,Lyft,Fenway,West End,2.94,10.5
Uber,WAV,South Station,Back Bay,1.68,9.0
Lyft,Lyft,Financial District,Fenway,4.27,19.5
Uber,Black,Back Bay,Fenway,1.5,15.0
Lyft,Lyft,North Station,South Station,1.9,10.5
Lyft,Lux Black XL,Theatre District,Boston University,2.95,32.5
Lyft,Lyft,Haymarket Square,Beacon Hill,1.37,7.0
Uber,Black,Fenway,Financial District,4.48,33.0
Uber,UberPool,Beacon Hill,Fenway,2.46,9.0
Lyft,Lux Black XL,Northeastern University,Financial District,6.09,55.0
Uber,UberXL,West End,Haymarket Square,0.68,9.5
Uber,Black,Boston University,Back Bay,1.41,17.5
Lyft,Lux Black XL,Financial District,South Station,0.59,26.0
Uber,Black SUV,West End,North End,1.22,27.5
Uber,UberX,North Station,Fenway,3.92,17.5
Uber,Black,West End,Fenway,2.72,20.5
Uber,Black,South Station,Financial District,0.39,15.0
Lyft,Lux,North Station,Haymarket Square,0.43,10.5
Uber,Black,Haymarket Square,Financial District,1.25,15.0
Lyft,Lux Black,Northeastern University,North Station,3.3,27.5
Lyft,Shared,Haymarket Square,Beacon Hill,1.35,5.0
Lyft,Lux,Beacon Hill,Fenway,2.66,16.5
Uber,Black,Back Bay,North End,2.84,23.0
Lyft,Shared,Boston University,West End,2.87,7.0
Lyft,Shared,West End,Northeastern University,2.77,9.0
Uber,Black,Financial District,Boston University,4.72,29.5
Uber,WAV,South Station,West End,2.14,8.5
Lyft,Shared,Boston University,Theatre District,4.68,9.0
Uber,UberXL,West End,South Station,1.97,13.0
Uber,UberPool,Northeastern University,Theatre District,1.81,8.0
Lyft,Lyft XL,Fenway,Theatre District,3.17,19.5
Lyft,Lyft XL,Haymarket Square,West End,0.77,10.5
Lyft,Lux Black XL,Boston University,West End,2.89,32.5
Uber,Black,Haymarket Square,Financial District,0.92,16.0
Lyft,Shared,Boston University,Financial District,5.44,5.0
Uber,Black SUV,Fenway,Theatre District,2.66,32.0
Lyft,Lyft XL,Financial District,South Station,0.57,9.0
Lyft,Shared,Financial District,Boston University,4.33,10.5
Lyft,Lyft,Northeastern University,Financial District,3.22,13.5
Uber,UberXL,Northeastern University,Financial District,3.3,19.5
Lyft,Lux Black,Theatre District,North End,1.53,19.5
Uber,WAV,Financial District,South Station,0.78,9.5
Lyft,Lux,Boston University,Back Bay,1.5,13.5
Uber,Black SUV,Back Bay,Haymarket Square,2.04,29.0
Lyft,Lyft,Fenway,Financial District,4.61,13.5
Uber,Black,North Station,Northeastern University,3.22,22.5
Uber,UberPool,Theatre District,North End,1.41,6.5
Lyft,Lux Black,Fenway,North Station,3.16,27.5
Lyft,Shared,West End,Boston University,3.04,9.0
Uber,UberPool,Financial District,Haymarket Square,0.98,6.5
Uber,Black SUV,Theatre District,Boston University,2.98,31.0
Lyft,Lux Black,Back Bay,Haymarket Square,2.41,22.5
Uber,UberX,Back Bay,North End,2.73,10.5
Uber,Black SUV,Financial District,North End,1.04,27.5
Uber,UberXL,Haymarket Square,Back Bay,2.32,16.5
Uber,WAV,Theatre District,Northeastern University,1.91,7.5
Lyft,Shared,Beacon Hill,North End,1.54,7.0
Uber,UberX,Beacon Hill,North End,1.07,7.0
Uber,Black,Northeastern University,West End,3.08,24.0
Lyft,Lyft XL,Financial District,South Station,0.56,10.5
Uber,WAV,Theatre District,Northeastern University,1.94,10.5
Uber,UberXL,Beacon Hill,Haymarket Square,0.91,13.0
Uber,UberX,North End,North Station,1.08,8.5
Lyft,Lux Black XL,Boston University,North Station,3.1,32.5
Uber,Black,Beacon Hill,South Station,2.58,19.5
Uber,UberX,North Station,Fenway,3.07,11.5
Lyft,Lux Black,Beacon Hill,Boston University,2.66,45.5
Lyft,Lyft,Back Bay,Fenway,1.45,7.0
Uber,UberX,Back Bay,North End,3.61,11.0
Uber,UberX,North End,North Station,0.94,7.5
Uber,UberPool,Back Bay,Northeastern University,1.64,7.5
Uber,Black,Boston University,Back Bay,1.4,17.0
Lyft,Lyft,West End,North End,1.26,7.0
Lyft,Lyft,Beacon Hill,Fenway,2.43,9.0
Uber,Black,Boston University,Beacon Hill,2.27,19.5
Lyft,Shared,Haymarket Square,North Station,0.75,3.0
Uber,Black,North Station,Haymarket Square,0.49,16.0
Lyft,Lyft XL,Financial District,Boston University,3.75,27.5
Uber,UberXL,Boston University,Theatre District,2.62,15.5
Lyft,Lux Black,Financial District,South Station,0.63,22.5
Lyft,Lux Black,South Station,North Station,2.16,19.5
Uber,UberXL,Back Bay,Fenway,1.5,14.0
Uber,UberPool,Back Bay,Northeastern University,1.64,7.5
Uber,UberPool,Northeastern University,Financial District,7.46,13.5
Uber,UberXL,Beacon Hill,South Station,2.58,15.0
Lyft,Lux,Fenway,Theatre District,3.05,22.5
Uber,UberXL,Financial District,Fenway,4.4,19.5
Lyft,Lyft XL,Beacon Hill,South Station,2.55,16.5
Lyft,Lyft XL,Back Bay,Northeastern University,1.26,10.5
Uber,UberX,Financial District,Fenway,4.4,12.5
Lyft,Lyft XL,Theatre District,Northeastern University,2.59,16.5
Uber,Black,Theatre District,Fenway,2.66,19.0
Uber,Black SUV,Theatre District,South Station,1.3,27.5
Uber,UberX,Beacon Hill,North End,1.46,8.0
Lyft,Lyft XL,Boston University,West End,2.83,16.5
Lyft,Lux,North Station,South Station,2.35,16.5
Lyft,Shared,North Station,Haymarket Square,0.54,3.5
Lyft,Lux Black,Financial District,North End,1.15,16.5
Lyft,Lux Black XL,Northeastern University,Back Bay,1.07,26.0
Uber,Black SUV,Boston University,West End,2.8,29.0
Lyft,Shared,Theatre District,North End,1.53,7.0
Uber,Black,Beacon Hill,Boston University,2.8,23.5
Uber,UberXL,Northeastern University,West End,3.08,19.5
Uber,Black,Theatre District,North End,1.41,17.5
Uber,WAV,North Station,Haymarket Square,0.79,7.0
Lyft,Lux Black,South Station,Back Bay,1.42,22.5
Uber,Black,North Station,Boston University,3.39,23.5
Lyft,Lyft,West End,Haymarket Square,0.71,7.0
Lyft,Lux Black,Northeastern University,Theatre District,2.14,22.5
Lyft,Lux,Northeastern University,Financial District,3.41,22.5
Uber,UberX,West End,South Station,1.88,9.5
Uber,Black,North Station,Fenway,3.07,26.0
Uber,Black,West End,South Station,1.63,19.5
Lyft,Lyft XL,Financial District,Boston University,4.72,22.5
Uber,Black,Northeastern University,Beacon Hill,1.96,22.5
Uber,WAV,Back Bay,Fenway,1.5,7.0
Lyft,Lyft,Back Bay,South Station,2.02,13.5
Uber,Black,North End,Back Bay,2.33,19.5
Uber,WAV,Boston University,Financial District,4.44,14.0
Uber,Black SUV,Theatre District,Boston University,2.98,35.0
Uber,Black SUV,West End,South Station,2.74,29.5
Lyft,Lyft,South Station,Financial District,0.44,7.0
Uber,WAV,Fenway,Back Bay,1.34,8.5
Uber,Black,Fenway,Beacon Hill,2.32,23.0
Lyft,Lux Black,Beacon Hill,North End,1.57,19.5
Uber,Black SUV,North End,Theatre District,1.57,28.5
Uber,UberX,West End,South Station,1.71,8.5
Lyft,Shared,South Station,Back Bay,1.42,7.0
Lyft,Lux Black XL,Financial District,North End,1.11,27.5
Uber,UberXL,Haymarket Square,Theatre District,1.61,12.5
Lyft,Lux,Northeastern University,North Station,3.22,19.5
Lyft,Lyft XL,North Station,Boston University,3.46,22.5
Uber,UberPool,Back Bay,Haymarket Square,1.79,8.5
Uber,UberX,West End,Boston University,3.04,9.5
Uber,UberXL,Beacon Hill,Northeastern University,2.61,15.0
Lyft,Shared,West End,Northeastern University,2.78,7.0
Lyft,Shared,Boston University,Theatre District,4.79,13.5
Lyft,Lux Black,North End,Back Bay,2.41,22.5
Lyft,Lux,West End,Fenway,2.82,19.5
Uber,UberX,Boston University,North Station,3.01,11.0
Lyft,Lyft XL,Haymarket Square,Back Bay,2.29,16.5
Uber,UberX,West End,Northeastern University,2.86,10.5
Uber,Black SUV,South Station,Back Bay,1.94,31.5
Lyft,Lyft,West End,South Station,1.94,9.0
Lyft,Shared,Fenway,West End,2.94,7.0
Lyft,Shared,West End,Fenway,3.16,9.0
Uber,WAV,Northeastern University,West End,3.08,12.0
Uber,UberX,Northeastern University,West End,3.08,10.5
Lyft,Lyft XL,Northeastern University,Back Bay,1.07,9.0
Lyft,Lyft XL,Northeastern University,North Station,3.31,16.5
Lyft,Lux Black,Beacon Hill,Haymarket Square,1.09,16.5
Lyft,Lux,Beacon Hill,North End,1.57,13.5
Lyft,Lux Black,Financial District,Fenway,4.13,32.5
Lyft,Shared,North Station,Boston University,3.44,9.0
Uber,Black SUV,Fenway,Theatre District,2.66,27.5
Uber,WAV,Boston University,West End,1.72,7.0
Uber,WAV,Haymarket Square,Financial District,1.25,7.5
Lyft,Lyft,Fenway,North Station,3.23,13.5
Lyft,Shared,Financial District,South Station,0.66,5.0
Uber,Black,South Station,North Station,2.17,19.0
Uber,UberXL,Back Bay,Northeastern University,1.64,12.5
Lyft,Lux Black,West End,Boston University,2.99,47.5
Lyft,Lux Black XL,Theatre District,North End,1.52,30.0
Lyft,Lux,North End,Beacon Hill,2.07,16.5
Lyft,Lux Black,Theatre District,Haymarket Square,1.24,16.5
Uber,Black SUV,Fenway,Financial District,4.5,51.5
Uber,WAV,Boston University,Theatre District,2.62,9.5
Uber,Black,Beacon Hill,Haymarket Square,0.91,15.0
Uber,Black,West End,Fenway,2.72,19.5
Uber,Black,Northeastern University,Financial District,4.73,32.0
Uber,Black SUV,South Station,West End,2.14,27.5
Lyft,Lux Black,Haymarket Square,North Station,0.9,16.5
Lyft,Lyft,Back Bay,Haymarket Square,2.38,9.0
Uber,UberX,Financial District,Fenway,7.62,17.0
Uber,WAV,Back Bay,Fenway,1.5,7.5
Lyft,Lux,South Station,Beacon Hill,1.49,13.5
Lyft,Shared,Back Bay,Fenway,1.44,5.0
Uber,WAV,South Station,Back Bay,6.26,17.5
Lyft,Lyft XL,Northeastern University,North Station,3.27,16.5
Uber,UberXL,Boston University,Beacon Hill,2.27,15.0
Uber,UberPool,Haymarket Square,West End,0.72,7.5
Uber,UberX,West End,Northeastern University,2.88,9.5
Lyft,Lyft,Financial District,Fenway,4.29,13.5
Uber,WAV,Back Bay,Fenway,1.5,7.0
Uber,WAV,North Station,North End,1.12,8.0
Uber,UberX,South Station,North Station,2.17,9.5
Lyft,Lyft,South Station,Theatre District,0.62,13.5
Lyft,Lyft XL,Theatre District,Northeastern University,2.12,16.5
Uber,Black,South Station,West End,2.14,19.5
Lyft,Lux Black XL,Financial District,North End,1.07,27.5
Lyft,Lyft,Haymarket Square,Back Bay,2.31,9.0
Uber,UberX,Beacon Hill,North End,1.9,8.5
Uber,Black SUV,Haymarket Square,Beacon Hill,1.23,27.5
Lyft,Lyft XL,Back Bay,Boston University,1.5,13.5
Uber,WAV,North End,North Station,1.88,8.0
Uber,WAV,Boston University,Beacon Hill,2.33,9.5
Lyft,Shared,North End,Theatre District,1.79,7.0
Uber,UberX,North Station,Boston University,3.39,10.5
Lyft,Lux Black,Northeastern University,North Station,3.33,27.5
Lyft,Lyft,Financial District,Haymarket Square,1.03,7.0
Uber,UberX,Fenway,Theatre District,2.66,10.5
Uber,UberX,Fenway,Financial District,4.48,12.5
Uber,WAV,Fenway,West End,2.84,10.5
Lyft,Lux,West End,North End,1.17,13.5
Uber,Black SUV,Fenway,West End,2.84,32.5
Uber,Black,West End,North End,1.11,16.0
Uber,UberXL,Boston University,Financial District,5.56,26.0
Lyft,Shared,Financial District,South Station,0.62,3.5
Lyft,Shared,Beacon Hill,South Station,2.4,7.0
Lyft,Lux Black,West End,Fenway,2.8,22.5
Lyft,Lyft,Financial District,South Station,0.61,7.0
Lyft,Shared,North End,North Station,1.05,3.5
Uber,WAV,South Station,Financial District,0.39,7.0
Lyft,Lux,Back Bay,Northeastern University,1.25,13.5
Lyft,Lux,Haymarket Square,Beacon Hill,1.3,16.5
Lyft,Lux Black XL,North End,Back Bay,2.63,34.0
Lyft,Shared,Theatre District,Northeastern University,2.06,5.0
Uber,UberX,North Station,Northeastern University,3.22,12.0
Lyft,Lux,Financial District,Northeastern University,3.19,22.5
Lyft,Shared,Boston University,North Station,3.16,3.0
Lyft,Lyft XL,Financial District,Fenway,4.2,22.5
Lyft,Lux Black,Theatre District,Haymarket Square,1.23,16.5
Lyft,Lyft,Beacon Hill,Fenway,2.37,10.5
Uber,WAV,North End,Beacon Hill,2.19,9.5
Lyft,Shared,Financial District,Fenway,4.27,9.0
Uber,UberXL,Northeastern University,Beacon Hill,1.97,13.5
Uber,UberXL,Back Bay,North End,2.62,18.0
Uber,Black SUV,North Station,South Station,2.29,36.5
Lyft,Lyft XL,Back Bay,Boston University,1.49,13.5
Uber,Black SUV,South Station,Beacon Hill,2.48,28.5
Lyft,Lux Black XL,Financial District,South Station,0.59,27.5
Uber,UberPool,Financial District,North End,1.04,8.0
Uber,WAV,Theatre District,Fenway,2.66,9.5
Uber,UberXL,Financial District,Northeastern University,4.48,20.5
Uber,Black,Fenway,Back Bay,1.34,16.0
Uber,Black SUV,Haymarket Square,Beacon Hill,1.35,27.5
Lyft,Lyft,South Station,Beacon Hill,2.23,9.0
Lyft,Lyft XL,Beacon Hill,Haymarket Square,1.36,10.5
Uber,Black SUV,South Station,Beacon Hill,2.48,28.5
Uber,UberPool,Back Bay,Fenway,1.5,8.0
Lyft,Lyft,West End,North End,1.24,7.0
Uber,Black,West End,South Station,1.97,18.5
Lyft,Shared,Back Bay,Fenway,1.53,7.0
Lyft,Shared,Haymarket Square,West End,0.78,5.0
Uber,UberPool,North End,Beacon Hill,1.87,7.5
Lyft,Lyft,North End,Theatre District,1.74,7.0
Uber,UberPool,Boston University,Beacon Hill,2.27,10.0
Uber,Black SUV,Northeastern University,Theatre District,1.8,30.5
Lyft,Lyft,Back Bay,Boston University,1.53,7.0
