carat,cut,color,clarity,price,x,y,z
2.41,Ideal,I,SI2,16987,8.57,8.51,5.34
1.01,Ideal,G,VS2,6340,6.39,6.36,3.98
0.34,Premium,H,VS2,689,4.51,4.47,2.77
0.32,Ideal,E,VS2,702,4.36,4.38,2.72
0.8,Ideal,F,SI1,3420,6.02,6.07,3.66
1.0,Good,G,VVS1,7007,6.31,6.35,4.04
1.0,Very Good,F,VS2,6841,6.29,6.36,4.04
0.7,Fair,G,VVS2,2595,5.43,5.52,3.53
0.52,Ideal,F,VS1,1872,5.2,5.16,3.17
0.55,Ideal,F,VS1,1682,5.32,5.37,3.23
1.7,Premium,G,VS2,15797,7.8,7.85,4.62
0.31,Very Good,I,VVS1,541,4.27,4.32,2.73
0.7,Ideal,H,SI2,2110,5.69,5.72,3.54
0.5,Premium,D,VS2,1752,5.11,5.15,3.15
0.63,Premium,E,VS1,3675,5.58,5.53,3.36
1.35,Premium,J,VS2,6254,7.19,7.12,4.33
0.3,Premium,J,VS1,394,4.28,4.31,2.69
0.55,Ideal,G,VS1,1841,5.27,5.31,3.22
1.23,Premium,D,SI2,4470,7.02,6.97,4.06
0.56,Ideal,I,VS2,1417,5.27,5.28,3.28
0.7,Very Good,E,SI2,2230,5.68,5.72,3.48
0.7,Ideal,F,VS2,3064,5.72,5.75,3.52
0.46,Very Good,I,VVS1,1164,4.91,4.85,3.1
0.42,Premium,H,SI1,898,4.81,4.78,2.98
1.34,Ideal,H,IF,11109,7.09,7.19,4.35
0.53,Ideal,J,VS2,1038,5.21,5.24,3.27
0.7,Premium,I,VS2,2268,5.71,5.68,3.46
1.31,Ideal,H,VS2,8261,7.02,7.06,4.35
0.38,Premium,J,VS1,600,4.6,4.64,2.87
0.27,Very Good,F,VVS1,682,4.15,4.17,2.57
0.32,Very Good,E,VS2,656,4.38,4.41,2.69
1.01,Very Good,G,I1,2108,6.42,6.25,3.99
1.01,Good,G,SI2,4397,6.51,6.58,3.88
1.04,Ideal,G,VS2,6809,6.53,6.56,4.05
0.4,Ideal,G,VVS1,1097,4.71,4.74,2.91
1.18,Very Good,G,VS2,8411,6.74,6.77,4.23
0.31,Very Good,H,VS2,628,4.31,4.28,2.71
0.51,Good,E,VS2,1656,5.08,5.12,3.23
1.12,Very Good,H,SI2,4498,6.55,6.62,4.14
1.28,Ideal,G,I1,4509,6.96,6.93,4.28
1.37,Ideal,G,VVS1,12342,7.07,7.12,4.44
1.5,Fair,I,SI2,6717,7.05,7.15,4.6
0.32,Very Good,F,VS2,645,4.4,4.43,2.66
0.32,Very Good,J,SI1,374,4.36,4.4,2.7
0.51,Very Good,H,VS1,1628,5.1,5.13,3.18
0.31,Good,H,VS2,489,4.32,4.35,2.74
0.32,Premium,G,VS1,773,4.45,4.41,2.71
0.31,Ideal,H,IF,1046,4.37,4.33,2.7
1.26,Premium,J,VS2,5015,6.9,6.95,4.3
2.22,Ideal,J,SI2,13703,8.33,8.29,5.22
0.71,Ideal,E,VS2,3035,5.83,5.86,3.48
0.59,Ideal,D,SI1,1694,5.38,5.43,3.31
0.31,Very Good,I,SI1,523,4.32,4.3,2.73
0.43,Premium,D,VS2,901,4.89,4.93,2.93
0.4,Ideal,G,VVS2,1050,4.68,4.64,2.91
0.34,Very Good,F,IF,999,4.54,4.56,2.78
0.34,Ideal,G,VVS2,995,4.48,4.44,2.76
0.57,Ideal,H,VS2,1759,5.35,5.38,3.3
1.5,Premium,G,SI2,8316,7.39,7.33,4.47
1.54,Premium,G,VS1,13733,7.37,7.34,4.55
0.56,Ideal,E,SI1,1698,5.27,5.23,3.29
0.72,Ideal,D,SI1,2804,5.74,5.77,3.58
1.51,Ideal,H,IF,12437,7.26,7.38,4.59
0.93,Ideal,E,SI1,4374,6.24,6.27,3.89
0.32,Ideal,G,SI1,449,4.4,4.43,2.73
0.73,Fair,G,VS2,2401,5.91,5.81,3.52
1.29,Premium,G,SI2,6116,7.03,6.95,4.27
0.37,Very Good,D,SI1,681,4.61,4.64,2.88
1.0,Ideal,G,VVS2,7744,6.45,6.47,3.93
0.78,Premium,I,VS2,2646,5.89,5.82,3.68
0.59,Very Good,F,SI2,1301,5.32,5.28,3.36
0.58,Very Good,J,VS2,1266,5.3,5.32,3.34
1.13,Ideal,D,VS1,9448,6.72,6.74,4.13
1.21,Premium,F,VS1,9448,6.98,6.89,4.17
0.34,Ideal,E,VS1,1033,4.51,4.45,2.74
1.16,Ideal,F,VVS2,10850,6.77,6.85,4.12
1.02,Very Good,G,VS2,6058,6.48,6.57,3.95
1.03,Ideal,E,SI2,4845,6.52,6.44,4.04
1.54,Premium,J,VVS2,8652,7.45,7.4,4.54
0.38,Premium,D,SI1,941,4.79,4.75,2.81
0.87,Very Good,H,SI1,3180,6.05,6.11,3.78
0.52,Very Good,D,SI1,1605,5.15,5.12,3.25
0.24,Very Good,E,VVS2,485,3.92,3.94,2.53
0.56,Ideal,H,VVS2,2118,5.28,5.33,3.28
0.42,Premium,H,VS1,1087,4.82,4.79,2.96
1.07,Premium,H,SI1,5123,6.63,6.55,4.05
0.4,Premium,H,VS1,1035,4.73,4.66,2.94
0.74,Premium,E,VS2,3108,5.77,5.73,3.59
0.42,Premium,F,SI1,992,4.88,4.85,2.92
0.51,Ideal,F,SI2,1046,5.08,5.1,3.19
1.57,Ideal,J,SI1,8221,7.51,7.4,4.65
2.02,Premium,D,SI2,12108,8.12,8.05,4.94
1.61,Very Good,G,SI1,12028,7.44,7.54,4.69
0.3,Very Good,F,VVS2,613,4.2,4.25,2.71
0.36,Ideal,H,VVS2,689,4.57,4.6,2.82
0.32,Premium,H,VS1,524,4.37,4.39,2.7
1.56,Ideal,F,VS2,17108,7.41,7.45,4.61
2.08,Very Good,H,SI2,15696,8.37,8.41,4.95
1.01,Premium,D,SI2,3604,6.58,6.53,3.8
1.01,Very Good,E,VS1,7039,6.38,6.42,3.98
0.91,Premium,H,VS2,4313,6.18,6.22,3.83
0.24,Very Good,F,VVS1,608,3.97,4.01,2.49
1.0,Premium,G,SI1,4189,6.48,6.45,3.88
0.3,Very Good,I,VVS1,709,4.29,4.27,2.7
1.24,Very Good,I,SI1,5046,6.84,6.89,4.29
0.9,Good,E,SI1,4190,6.3,6.34,3.66
0.39,Ideal,G,VVS2,902,4.75,4.78,2.89
1.0,Good,G,VS2,5242,6.61,6.53,3.85
0.7,Ideal,H,VVS1,2947,5.76,5.81,3.5
0.3,Good,I,SI1,506,4.3,4.25,2.74
0.32,Premium,D,VS2,972,4.38,4.34,2.69
1.21,Ideal,H,VVS2,8950,6.85,6.89,4.21
0.43,Ideal,H,IF,1245,4.84,4.87,3.02
1.01,Very Good,G,SI2,4228,6.26,6.33,3.99
1.51,Good,E,SI1,12490,7.34,7.23,4.63
0.91,Very Good,E,SI1,4211,6.11,6.23,3.85
0.31,Premium,H,VS2,628,4.39,4.37,2.71
1.53,Premium,H,VS2,11280,7.34,7.3,4.55
0.3,Ideal,I,SI1,422,4.3,4.32,2.67
1.07,Very Good,F,VS1,7118,6.57,6.59,4.08
1.02,Ideal,D,SI1,6191,6.41,6.44,4.0
1.02,Premium,G,VVS1,8005,6.39,6.36,3.96
1.01,Very Good,E,VS1,6996,6.46,6.38,3.98
0.39,Premium,F,VVS1,1232,4.73,4.75,2.83
0.86,Ideal,G,SI2,3442,6.11,6.14,3.79
1.01,Very Good,E,VVS2,9140,6.41,6.36,4.04
0.31,Ideal,H,VS2,628,4.39,4.36,2.72
0.55,Ideal,G,VS2,1604,5.28,5.31,3.24
0.51,Ideal,G,VVS2,1976,5.08,5.1,3.19
0.42,Ideal,G,VVS2,1031,4.77,4.81,2.98
1.5,Very Good,G,VS2,13528,7.4,7.3,4.49
1.5,Good,E,VS2,13846,7.21,7.19,4.6
0.71,Premium,D,SI1,2797,5.73,5.75,3.52
1.01,Very Good,G,SI2,3852,6.43,6.46,3.99
0.78,Premium,H,SI2,1846,5.91,5.88,3.6
0.71,Ideal,D,VS1,3576,5.77,5.82,3.5
0.71,Ideal,G,VVS1,3210,5.65,5.69,3.55
0.52,Very Good,H,VVS1,1664,5.08,5.1,3.25
0.32,Premium,I,SI1,540,4.47,4.44,2.67
1.1,Ideal,F,SI1,6621,6.66,6.69,4.11
0.5,Good,G,VVS2,1690,5.06,5.08,3.1
0.31,Ideal,F,VS2,625,4.35,4.38,2.72
0.98,Premium,F,SI2,4308,6.37,6.32,3.92
0.25,Good,E,VVS2,576,4.0,4.05,2.54
0.5,Ideal,I,VS2,1110,5.1,5.12,3.17
0.4,Very Good,E,SI1,707,4.71,4.74,2.97
1.01,Ideal,D,SI2,4785,6.34,6.4,3.99
0.79,Premium,G,VS2,2839,6.09,6.01,3.59
0.59,Very Good,H,SI1,1283,5.35,5.38,3.37
0.36,Ideal,F,SI1,600,4.62,4.67,2.79
1.26,Premium,D,VVS2,14663,6.99,7.03,4.24
0.41,Very Good,H,VS1,1061,4.7,4.69,2.98
0.48,Ideal,F,VS2,1279,5.03,5.03,3.15
1.01,Good,D,SI1,5443,6.32,6.39,4.01
0.71,Ideal,E,SI1,2404,5.76,5.71,3.55
0.41,Ideal,G,VS1,961,4.82,4.79,2.92
1.19,Very Good,H,SI1,5595,6.66,6.73,4.2
0.56,Ideal,G,SI2,1127,5.34,5.32,3.25
0.58,Ideal,I,SI2,1158,5.38,5.45,3.32
0.51,Good,F,SI1,1186,5.01,5.06,3.22
0.28,Ideal,I,VS2,503,4.19,4.22,2.62
0.4,Very Good,E,VVS2,1017,4.69,4.73,2.99
0.5,Ideal,D,VS2,1612,5.07,5.11,3.13
0.38,Very Good,H,VS2,700,4.64,4.66,2.92
0.7,Very Good,D,VS2,2960,5.61,5.69,3.56
0.74,Very Good,G,SI2,2505,5.85,5.87,3.54
0.3,Ideal,I,IF,615,4.26,4.28,2.67
1.01,Very Good,E,VS2,6666,6.31,6.36,3.97
0.73,Premium,I,VVS2,2519,5.78,5.73,3.54
1.05,Very Good,E,VS2,6803,6.48,6.53,4.01
0.7,Good,E,VS2,2606,5.77,5.74,3.46
0.76,Ideal,F,SI1,2894,5.88,5.92,3.62
0.38,Premium,D,SI1,941,4.69,4.63,2.83
1.26,Ideal,G,VVS2,12066,6.96,6.99,4.29
0.57,Ideal,E,VVS2,2534,5.34,5.36,3.31
1.1,Very Good,G,SI2,4066,6.56,6.54,4.15
1.26,Ideal,H,SI2,6597,6.95,6.99,4.31
0.7,Very Good,H,SI2,2306,5.72,5.77,3.53
0.31,Ideal,D,VS2,734,4.35,4.37,2.68
0.31,Premium,I,VVS2,544,4.41,4.44,2.63
2.0,Premium,J,VS1,11793,8.02,7.91,4.94
1.21,Premium,E,VVS2,11395,6.84,6.79,4.22
0.7,Good,E,SI2,2032,5.67,5.55,3.57
0.34,Premium,I,SI1,589,4.56,4.54,2.75
0.36,Premium,D,VS2,727,4.63,4.66,2.8
0.4,Ideal,H,SI2,540,4.75,4.77,2.96
0.9,Very Good,G,SI2,3787,6.05,6.1,3.84
1.37,Ideal,H,VS1,7979,7.01,6.98,4.46
0.43,Ideal,D,SI1,1064,4.87,4.82,2.98
2.01,Good,J,SI1,11703,8.08,8.14,4.83
0.83,Ideal,E,SI2,3049,6.08,6.04,3.75
0.25,Ideal,H,VS1,445,4.04,4.08,2.54
0.24,Very Good,F,VVS1,478,4.03,4.06,2.45
1.04,Ideal,G,VS2,6177,6.45,6.49,4.05
1.28,Ideal,G,VS1,9498,6.97,6.96,4.32
1.77,Ideal,J,VS1,11150,7.77,7.73,4.82
0.27,Ideal,G,VS1,490,4.14,4.16,2.58
0.5,Ideal,F,SI2,1203,5.16,5.13,3.13
1.12,Ideal,F,SI2,5277,6.65,6.68,4.12
0.38,Good,H,SI1,633,4.58,4.62,2.91
1.08,Ideal,E,VVS1,14032,6.6,6.63,4.08
0.27,Very Good,G,VVS1,566,4.13,4.15,2.6
1.0,Very Good,F,SI2,3906,6.31,6.35,3.95
1.37,Ideal,J,VS2,5831,7.11,7.05,4.46
1.33,Ideal,H,VS2,7850,7.02,6.98,4.38
1.17,Premium,H,SI1,5004,6.75,6.71,4.19
0.4,Ideal,F,VVS2,994,4.79,4.82,2.9
1.0,Good,G,VS2,5645,6.33,6.25,4.03
0.7,Very Good,D,SI1,2242,5.57,5.61,3.58
1.25,Premium,H,SI2,5950,7.02,6.95,4.22
1.5,Premium,D,SI2,8649,7.34,7.27,4.52
1.06,Ideal,I,SI2,3146,6.51,6.46,4.07
0.91,Ideal,I,VS1,3669,6.25,6.2,3.89
1.5,Good,G,SI1,10428,7.19,7.23,4.59
0.61,Premium,F,SI1,1547,5.37,5.33,3.34
2.11,Premium,H,SI2,13233,8.31,8.27,5.06
0.76,Very Good,D,SI2,2006,5.91,5.84,3.47
0.31,Ideal,G,VVS1,789,4.36,4.39,2.7
0.6,Ideal,F,VVS2,2822,5.37,5.4,3.34
1.91,Very Good,G,SI1,15241,7.9,7.86,4.97
2.23,Premium,G,SI2,16805,8.41,8.32,5.14
0.41,Ideal,D,VVS1,1582,4.77,4.73,2.96
0.4,Ideal,D,SI2,625,4.71,4.77,2.94
0.62,Good,G,VS1,1893,5.37,5.47,3.39
1.29,Premium,I,SI2,4291,7.0,6.94,4.26
1.72,Premium,F,I1,7532,7.77,7.74,4.66
0.34,Ideal,F,VS2,686,4.47,4.51,2.79
0.79,Very Good,E,SI1,3077,5.79,5.85,3.71
0.55,Ideal,G,SI1,1421,5.3,5.32,3.24
0.71,Ideal,E,SI1,2329,5.78,5.74,3.54
0.51,Fair,F,VS2,1334,5.12,5.04,3.1
1.07,Ideal,G,VVS2,8491,6.57,6.61,4.07
1.01,Premium,F,SI2,4497,6.41,6.37,3.99
0.65,Premium,F,VS2,1970,5.65,5.62,3.36
0.41,Premium,I,VVS2,1061,4.87,4.81,2.9
1.79,Very Good,I,VS2,12610,7.87,7.9,4.77
0.31,Ideal,F,IF,1046,4.35,4.34,2.7
0.34,Premium,I,VVS2,596,4.45,4.49,2.75
0.7,Premium,J,IF,2264,5.73,5.67,3.45
0.31,Premium,G,VS1,625,4.31,4.34,2.7
0.33,Ideal,E,VS1,1002,4.54,4.5,2.74
2.06,Premium,I,VS1,15393,8.42,8.35,4.9
1.23,Premium,F,SI2,6038,6.91,6.84,4.21
0.32,Ideal,H,VVS2,828,4.42,4.38,2.72
0.72,Ideal,E,SI2,2398,5.76,5.78,3.57
0.4,Very Good,G,SI2,765,4.66,4.64,2.95
0.58,Premium,I,VVS1,1636,5.27,5.31,3.31
0.83,Good,J,SI1,2159,6.03,6.08,3.67
0.52,Ideal,E,VVS2,2430,5.15,5.18,3.19
2.0,Good,H,SI1,17600,7.96,8.03,5.06
0.71,Very Good,E,VS2,2759,5.68,5.73,3.56
0.57,Premium,G,VVS2,2059,5.44,5.36,3.25
1.07,Premium,G,VS2,6644,6.52,6.49,4.09
0.43,Premium,D,SI2,716,4.85,4.91,2.96
1.69,Premium,I,VS2,10600,7.66,7.53,4.74
0.9,Ideal,F,SI1,5122,6.17,6.19,3.77
0.53,Ideal,G,VVS2,1914,5.21,5.19,3.25
0.73,Ideal,D,SI1,2947,5.79,5.81,3.55
1.01,Premium,F,SI2,4317,6.59,6.52,3.91
0.7,Ideal,I,VVS1,2536,5.7,5.64,3.53
0.7,Premium,E,SI2,2475,5.75,5.7,3.46
0.72,Premium,H,SI1,2398,5.73,5.67,3.56
0.77,Ideal,D,VVS2,5207,5.83,5.85,3.64
0.3,Ideal,D,SI1,552,4.29,4.33,2.63
1.0,Premium,F,I1,3344,6.34,6.38,3.97
0.33,Premium,E,VVS2,950,4.47,4.44,2.73
0.3,Very Good,E,VS2,658,4.24,4.29,2.66
0.7,Ideal,E,SI2,2436,5.66,5.7,3.54
0.31,Ideal,F,VS2,625,4.27,4.33,2.69
1.04,Very Good,D,SI1,5605,6.48,6.53,4.0
0.57,Premium,F,SI2,1746,5.38,5.33,3.25
0.71,Premium,E,SI1,2743,5.74,5.67,3.55
0.46,Good,F,VS1,1168,4.84,5.0,3.04
1.26,Ideal,I,VS2,6350,6.96,6.91,4.34
1.0,Very Good,D,SI2,3965,6.41,6.36,3.88
1.0,Very Good,G,SI1,5522,6.44,6.47,3.94
0.28,Ideal,G,IF,650,4.19,4.21,2.58
2.01,Premium,G,SI2,12260,8.14,8.07,4.93
1.06,Very Good,G,SI2,4057,6.46,6.37,4.07
0.54,Premium,G,SI1,1389,5.2,5.17,3.2
1.72,Premium,H,VS2,11455,7.79,7.75,4.62
0.71,Premium,F,VS2,2686,5.71,5.66,3.55
0.23,Very Good,G,VVS2,431,3.93,3.95,2.47
0.33,Very Good,I,SI1,445,4.46,4.5,2.75
0.37,Premium,F,SI2,624,4.7,4.6,2.8
1.24,Very Good,F,VVS1,11716,6.75,6.84,4.26
1.01,Premium,G,VS1,6163,6.38,6.35,3.97
0.92,Ideal,E,VS1,5023,6.18,6.13,3.85
2.04,Ideal,J,IF,17327,8.11,8.14,5.0
0.39,Premium,D,VVS2,1290,4.69,4.65,2.94
0.75,Very Good,H,VVS1,2806,5.85,5.9,3.56
0.71,Premium,G,VVS2,2832,5.75,5.65,3.54
0.3,Good,H,VS1,675,4.28,4.26,2.73
0.33,Premium,G,VVS2,965,4.47,4.39,2.78
0.9,Ideal,I,VS2,4157,6.17,6.23,3.85
0.43,Very Good,G,VVS2,1056,4.78,4.85,3.0
1.01,Good,E,SI1,4256,6.36,6.31,4.04
1.01,Good,F,SI2,4302,6.41,6.46,3.96
1.0,Good,H,VS2,4637,6.21,6.25,3.96
0.59,Ideal,D,SI2,1425,5.52,5.48,3.25
0.32,Very Good,D,VS2,646,4.49,4.52,2.65
0.7,Good,D,SI1,2525,5.79,5.93,3.4
0.91,Premium,E,SI2,3639,6.09,6.07,3.82
0.5,Premium,E,SI1,1316,5.15,5.18,3.11
0.52,Premium,D,SI1,1651,5.21,5.19,3.2
1.27,Premium,F,SI2,5428,7.01,6.95,4.26
1.7,Very Good,G,VS2,18107,7.64,7.68,4.74
0.55,Ideal,D,VS2,1928,5.27,5.31,3.25
1.18,Very Good,G,SI1,6286,6.81,6.85,4.15
1.22,Premium,H,SI1,6620,6.81,6.76,4.21
1.16,Very Good,E,SI2,5034,6.69,6.77,4.2
0.43,Very Good,F,VS1,1056,4.84,4.89,2.97
0.41,Premium,G,SI1,923,4.8,4.77,3.0
1.07,Premium,G,SI2,4278,6.71,6.59,3.89
1.01,Premium,G,SI1,4672,6.39,6.34,3.98
0.45,Ideal,D,SI2,706,4.92,4.95,3.06
2.01,Ideal,J,SI2,12565,8.03,8.07,5.06
0.96,Premium,E,SI1,4365,6.41,6.39,3.76
0.95,Premium,I,SI1,3878,6.39,6.37,3.83
1.07,Ideal,H,SI2,4442,6.58,6.63,4.08
0.7,Very Good,E,SI2,1964,5.67,5.7,3.42
1.24,Ideal,I,SI1,5902,6.88,6.84,4.26
0.54,Ideal,F,VVS2,2180,5.24,5.26,3.26
0.72,Ideal,G,VVS2,3849,5.72,5.75,3.55
0.34,Ideal,G,VS2,596,4.47,4.5,2.76
0.7,Fair,H,SI1,1808,5.49,5.59,3.59
0.31,Ideal,H,VVS1,907,4.37,4.34,2.71
0.5,Good,E,VS1,1714,5.07,5.12,3.11
0.51,Good,E,SI1,1304,5.05,5.09,3.21
1.41,Ideal,G,VS2,10581,7.27,7.2,4.4
1.12,Very Good,I,SI1,4724,6.6,6.66,4.09
0.31,Premium,D,SI1,732,4.43,4.41,2.65
0.54,Premium,H,VS1,1637,5.29,5.24,3.26
1.14,Very Good,F,SI2,5033,6.78,6.86,4.04
1.0,Very Good,E,VS2,7607,6.33,6.35,3.99
0.31,Good,E,SI1,544,4.33,4.36,2.74
1.29,Ideal,H,SI1,6424,6.96,6.93,4.35
0.32,Ideal,G,VS1,718,4.37,4.34,2.72
0.72,Ideal,I,VS2,3391,5.77,5.83,3.56
0.62,Premium,E,VVS2,2618,5.48,5.42,3.38
0.9,Ideal,F,SI1,4318,6.21,6.25,3.86
0.32,Premium,E,VVS1,954,4.35,4.39,2.7
0.9,Premium,I,VS1,3145,6.3,6.19,3.79
2.24,Premium,J,VS1,11970,8.46,8.41,5.14
0.4,Good,I,VVS2,750,4.75,4.79,2.85
1.01,Good,E,VS2,6399,6.3,6.33,4.0
1.11,Very Good,I,SI2,4202,6.63,6.69,4.07
1.51,Fair,G,VS2,10553,7.59,7.49,4.38
1.12,Very Good,E,SI2,3794,6.59,6.65,4.03
0.9,Very Good,I,VS2,3992,6.27,6.3,3.73
1.05,Fair,F,SI2,3615,6.3,6.22,4.13
1.2,Very Good,H,SI1,6019,6.94,7.02,4.11
2.0,Good,J,VS1,14973,8.01,8.08,5.02
0.41,Ideal,E,SI2,876,4.73,4.7,2.96
1.0,Fair,G,SI1,4295,6.32,6.28,4.06
0.33,Ideal,E,VS2,723,4.45,4.47,2.73
1.02,Ideal,I,VVS2,5767,6.47,6.51,4.03
0.72,Very Good,D,SI2,2612,5.67,5.73,3.55
1.01,Ideal,F,VVS2,8688,6.49,6.46,4.0
0.8,Ideal,F,VS1,3793,6.01,5.98,3.67
0.43,Very Good,F,VS1,1008,4.8,4.76,3.03
0.53,Premium,D,VS2,1808,5.23,5.26,3.16
0.45,Very Good,D,VS2,1311,4.83,4.86,3.04
0.4,Ideal,D,SI1,924,4.7,4.66,2.95
0.33,Ideal,D,VS2,1002,4.46,4.43,2.79
1.1,Premium,I,SI1,4725,6.66,6.61,4.01
0.71,Premium,F,VS1,2839,5.75,5.72,3.47
0.72,Ideal,H,SI2,2252,5.79,5.83,3.53
1.51,Premium,H,SI2,7340,7.34,7.2,4.52
0.31,Premium,H,VVS1,907,4.34,4.3,2.67
0.29,Ideal,E,VVS1,858,4.22,4.2,2.64
0.93,Premium,G,SI2,3019,6.27,6.23,3.84
0.5,Ideal,F,VVS2,2283,5.13,5.18,3.19
0.54,Ideal,G,VS1,1847,5.24,5.21,3.24
0.5,Very Good,E,VS2,1624,5.06,5.09,3.19
1.03,Premium,H,VS1,5624,6.47,6.43,4.03
0.4,Very Good,E,SI1,737,4.76,4.8,2.91
1.02,Premium,E,VS2,7311,6.56,6.54,3.93
0.72,Ideal,F,VVS1,4252,5.73,5.75,3.56
1.21,Very Good,G,SI2,5308,6.66,6.74,4.2
0.7,Premium,E,SI2,2135,5.76,5.74,3.44
0.3,Premium,G,VS2,526,4.28,4.33,2.65
0.71,Very Good,E,SI2,2123,5.71,5.76,3.56
0.71,Premium,D,SI2,2317,5.7,5.64,3.49
0.53,Ideal,F,VVS1,2830,5.23,5.29,3.19
0.3,Very Good,H,SI1,432,4.25,4.29,2.67
0.78,Ideal,E,SI2,3053,5.92,5.98,3.63
0.41,Ideal,E,VVS2,1187,4.77,4.81,2.94
0.73,Ideal,G,SI1,2351,5.78,5.74,3.6
0.5,Very Good,E,VVS2,2105,5.02,5.05,3.15
1.52,Very Good,G,SI2,8151,7.44,7.5,4.55
0.9,Premium,E,SI1,4158,6.16,6.11,3.86
0.81,Ideal,H,VS1,3257,5.97,6.04,3.71
1.57,Premium,G,VS2,11711,7.46,7.38,4.65
1.1,Very Good,D,VVS2,11132,6.64,6.65,4.1
0.7,Very Good,H,VS1,2400,5.74,5.81,3.47
1.51,Very Good,J,VS2,8735,7.51,7.47,4.47
0.52,Ideal,F,VVS1,2251,5.17,5.2,3.21
0.34,Ideal,I,SI1,459,4.45,4.49,2.79
0.9,Good,H,SI1,3447,6.05,6.09,3.81
1.0,Ideal,E,SI1,5555,6.43,6.5,3.97
0.84,Premium,F,SI1,3115,6.18,6.13,3.63
0.3,Ideal,E,VS1,703,4.27,4.32,2.69
1.01,Ideal,G,SI1,5049,6.45,6.49,3.92
0.7,Premium,D,VS1,3365,5.69,5.64,3.54
1.01,Good,I,VS2,3717,6.6,6.56,3.76
0.33,Ideal,F,VS2,854,4.46,4.43,2.76
0.3,Very Good,H,SI1,421,4.25,4.27,2.61
0.9,Good,H,SI1,2732,6.07,6.02,3.86
0.52,Premium,D,VS2,1842,5.14,5.11,3.22
1.03,Ideal,G,SI2,4582,6.46,6.51,4.01
1.01,Premium,G,VS2,5864,6.43,6.38,3.98
0.43,Premium,G,VS2,867,4.86,4.91,2.97
1.0,Fair,E,VS2,5376,6.21,6.16,4.02
0.7,Ideal,E,VS2,3201,5.72,5.75,3.47
0.27,Very Good,E,VVS2,575,4.27,4.3,2.51
0.57,Premium,D,SI2,1012,5.32,5.28,3.25
1.0,Fair,H,VS1,4368,6.52,6.47,3.73
0.58,Ideal,D,VVS1,3732,5.33,5.37,3.32
1.79,Premium,H,VS1,14904,7.81,7.76,4.87
0.32,Ideal,E,VS1,825,4.43,4.45,2.73
1.05,Ideal,E,VS2,9624,6.54,6.55,4.04
0.3,Ideal,D,VS2,911,4.29,4.25,2.67
1.51,Premium,G,VS2,12756,7.2,7.31,4.55
0.31,Ideal,D,VS2,942,4.36,4.34,2.7
0.46,Very Good,F,SI2,815,4.88,4.96,3.08
0.34,Ideal,H,VS2,689,4.5,4.45,2.8
0.4,Very Good,D,SI2,855,4.73,4.67,2.98
0.71,Ideal,F,VS1,3710,5.76,5.78,3.51
0.32,Premium,F,SI1,533,4.42,4.45,2.66
0.53,Ideal,F,SI1,1284,5.23,5.25,3.23
1.62,Very Good,F,VS2,14400,7.54,7.43,4.73
0.9,Very Good,I,VS2,3581,6.13,6.17,3.79
0.23,Very Good,E,VVS2,505,4.0,4.1,2.4
0.52,Very Good,E,SI1,1438,5.26,5.3,3.13
1.21,Premium,I,VS1,5739,6.76,6.81,4.2
0.9,Ideal,F,SI1,4269,6.19,6.16,3.81
2.01,Premium,J,VS2,10401,8.18,8.14,4.78
0.7,Premium,H,SI1,2020,5.7,5.65,3.53
1.5,Very Good,E,VS2,13892,7.31,7.22,4.57
0.23,Very Good,G,VVS2,438,4.09,4.03,2.36
0.53,Very Good,F,SI1,1322,5.19,5.24,3.26
0.7,Very Good,D,SI1,3075,5.64,5.67,3.53
2.0,Premium,G,SI2,10833,8.13,8.07,4.92
0.3,Ideal,E,SI1,499,4.29,4.3,2.65
1.03,Premium,E,SI1,5710,6.49,6.39,4.05
1.07,Very Good,F,VS1,7513,6.51,6.55,4.05
0.71,Very Good,E,SI1,2573,5.83,5.9,3.48
2.09,Premium,H,SI2,17156,8.22,8.17,5.09
0.55,Premium,F,VS2,1931,5.38,5.33,3.16
0.72,Very Good,G,SI2,2246,5.72,5.68,3.61
0.93,Premium,H,SI1,3816,6.23,6.27,3.86
0.36,Ideal,E,VS2,1013,4.56,4.52,2.84
0.56,Premium,G,SI2,1103,5.42,5.35,3.21
0.24,Ideal,E,VVS1,678,4.02,4.07,2.44
0.72,Ideal,D,VS2,3179,5.8,5.84,3.54
0.32,Ideal,F,VVS2,1008,4.41,4.39,2.73
0.35,Ideal,E,VS2,767,4.52,4.56,2.8
0.91,Very Good,F,SI2,3726,6.13,6.16,3.77
0.99,Very Good,F,SI1,5112,6.36,6.38,3.98
1.11,Ideal,H,VS2,5632,6.52,6.46,4.16
0.31,Very Good,E,VVS1,1039,4.45,4.49,2.68
0.52,Ideal,E,VVS1,3097,5.19,5.2,3.21
1.26,Premium,F,VS2,8676,6.89,6.84,4.31
0.54,Ideal,G,VVS1,2030,5.25,5.21,3.24
0.41,Very Good,E,VS2,910,4.71,4.74,2.99
2.03,Ideal,J,SI2,11951,7.99,8.03,5.06
0.72,Fair,I,VVS2,2131,5.56,5.64,3.68
0.42,Very Good,G,VS1,921,4.82,4.95,2.96
0.44,Very Good,J,VS1,694,4.83,4.9,3.01
0.7,Ideal,H,IF,3309,5.69,5.72,3.5
0.66,Ideal,H,VS1,2131,5.61,5.66,3.43
0.91,Premium,J,SI1,2905,6.19,6.14,3.87
1.0,Premium,F,SI1,5197,6.36,6.4,4.0
